student_id,disability_type,total_reward,overload_events,final_mastery,acceptance_rate,final_trust
S0001,ADHD,6.998152444702901,18,1.0,1.0,
S0003,ID,6.520656715670994,9,1.0,1.0,
S0007,Physical_Sensory,5.699420658161643,23,1.0,1.0,
S0015,ADHD,6.0568428086326085,14,1.0,1.0,
S0022,Mixed,8.910653665116024,11,1.0,1.0,
S0025,ASD,5.027329909184536,14,1.0,1.0,
S0026,Dyslexia,6.587618393579882,15,1.0,1.0,
S0030,ID,6.116588959624082,16,1.0,1.0,
S0037,Dyslexia,6.324425880664944,5,1.0,1.0,
S0043,ADHD,5.982762209474076,8,1.0,1.0,
S0049,ASD,7.032495962477112,9,1.0,1.0,
S0050,ASD,5.2169376312289595,15,1.0,1.0,
S0064,Dyslexia,7.226301252862598,12,1.0,1.0,
S0068,ASD,7.048750987970145,17,1.0,1.0,
S0071,ADHD,9.584183328956593,7,1.0,1.0,
S0072,Mixed,5.986778269027397,18,1.0,1.0,
S0074,ASD,3.8254716941680584,21,1.0,1.0,
S0076,ADHD,4.715220806111409,15,1.0,1.0,
S0083,ASD,7.810255895940617,22,1.0,1.0,
S0086,ID,5.460736519806696,23,1.0,1.0,
S0087,Dyslexia,6.105405185462794,15,1.0,1.0,
S0104,Physical_Sensory,8.500115909746555,16,1.0,1.0,
S0109,Mixed,7.837717863733931,8,1.0,1.0,
S0115,Mixed,5.666810642130704,15,1.0,1.0,
S0121,Dyslexia,5.849675363068258,15,1.0,1.0,
S0126,ADHD,6.148237878826285,14,1.0,1.0,
S0129,Dyslexia,6.192873831321903,14,1.0,1.0,
S0133,ADHD,6.067610634190855,19,1.0,1.0,
S0136,Mixed,3.9825853389726342,12,1.0,1.0,
S0141,Dyslexia,6.956153159604551,12,1.0,1.0,
S0143,Dyslexia,7.0168373085925335,9,1.0,1.0,
S0144,Dyslexia,7.911160570129987,9,1.0,1.0,
S0153,Dyslexia,7.241040855128816,16,1.0,1.0,
S0155,ID,7.859636928111629,8,1.0,1.0,
S0156,ADHD,4.998020383178202,15,1.0,1.0,
S0166,Physical_Sensory,1.863666587971822,23,1.0,1.0,
S0178,Mixed,4.708419715758286,12,1.0,1.0,
S0195,ASD,8.630762731211002,19,1.0,1.0,
S0196,Dyslexia,7.076757684797832,15,1.0,1.0,
S0203,ASD,6.00089108874821,14,1.0,1.0,
S0209,Dyslexia,7.830103994101061,21,1.0,1.0,
S0215,ID,8.98875814915568,5,1.0,1.0,
S0216,ASD,7.575444850681663,16,1.0,1.0,
S0226,ASD,2.963358648856231,13,1.0,1.0,
S0235,Physical_Sensory,5.530582493909513,24,1.0,1.0,
S0237,Physical_Sensory,3.7415916341438074,23,1.0,1.0,
S0239,ASD,5.514605979374413,23,1.0,1.0,
S0241,Physical_Sensory,2.808582110050213,12,1.0,1.0,
S0243,Dyslexia,4.0084693814490135,11,1.0,1.0,
S0252,Dyslexia,5.188637444716043,9,1.0,1.0,
S0254,ADHD,3.7152107016993634,18,1.0,1.0,
S0255,ID,3.4558322922529485,17,1.0,1.0,
S0264,Mixed,8.68552830176895,6,1.0,1.0,
S0265,ASD,6.969880494391797,16,1.0,1.0,
S0266,ADHD,6.365063307195819,10,1.0,1.0,
S0276,ADHD,4.608100858942705,15,1.0,1.0,
S0279,Mixed,4.1979102223155245,22,1.0,1.0,
S0280,ASD,6.854166320015508,13,1.0,1.0,
S0281,ASD,7.696581408019846,14,1.0,1.0,
S0282,ADHD,8.393974219190905,14,1.0,1.0,
S0288,Dyslexia,4.6327749932006475,14,1.0,1.0,
S0297,Physical_Sensory,6.340031754519141,22,1.0,1.0,
S0308,ADHD,5.5720621339324765,10,1.0,1.0,
S0313,ADHD,7.712204640834713,18,1.0,1.0,
S0316,ADHD,7.384512926373495,15,1.0,1.0,
S0317,ID,7.712015198648672,10,1.0,1.0,
S0319,Mixed,5.4665596825329414,18,1.0,1.0,
S0334,ASD,5.430249014295974,21,1.0,1.0,
S0335,Dyslexia,6.381809242184159,9,1.0,1.0,
S0336,ASD,2.407459688261323,16,1.0,1.0,
S0352,Dyslexia,7.0474083965649506,19,1.0,1.0,
S0356,Physical_Sensory,8.188026142067542,16,1.0,1.0,
S0357,Physical_Sensory,7.123642432822183,14,1.0,1.0,
S0368,ADHD,8.297216699566468,9,1.0,1.0,
S0369,Mixed,8.58402060431451,7,1.0,1.0,
S0373,ADHD,6.681393612441081,12,1.0,1.0,
S0386,ID,3.8435467982013716,13,1.0,1.0,
S0388,ASD,7.3236970380298265,18,1.0,1.0,
S0393,ID,6.5317084582099145,14,1.0,1.0,
S0396,Physical_Sensory,6.162224086197024,10,1.0,1.0,
