condition,student_id,disability_type,sessions_to_mastery,reached_threshold,run_seed
scale_full,S0001,ADHD,10,True,7
scale_full,S0003,ID,38,True,7
scale_full,S0007,Physical_Sensory,12,True,7
scale_full,S0015,ADHD,14,True,7
scale_full,S0022,Mixed,4,True,7
scale_full,S0025,ASD,28,True,7
scale_full,S0026,Dyslexia,19,True,7
scale_full,S0030,ID,17,True,7
scale_full,S0037,Dyslexia,16,True,7
scale_full,S0043,ADHD,16,True,7
scale_full,S0049,ASD,19,True,7
scale_full,S0050,ASD,12,True,7
scale_full,S0064,Dyslexia,21,True,7
scale_full,S0068,ASD,8,True,7
scale_full,S0071,ADHD,9,True,7
scale_full,S0072,Mixed,15,True,7
scale_full,S0074,ASD,21,True,7
scale_full,S0076,ADHD,26,True,7
scale_full,S0083,ASD,16,True,7
scale_full,S0086,ID,20,True,7
scale_full,S0087,Dyslexia,22,True,7
scale_full,S0104,Physical_Sensory,6,True,7
scale_full,S0109,Mixed,9,True,7
scale_full,S0115,Mixed,12,True,7
scale_full,S0121,Dyslexia,26,True,7
scale_full,S0126,ADHD,30,True,7
scale_full,S0129,Dyslexia,18,True,7
scale_full,S0133,ADHD,23,True,7
scale_full,S0136,Mixed,23,True,7
scale_full,S0141,Dyslexia,19,True,7
scale_full,S0143,Dyslexia,10,True,7
scale_full,S0144,Dyslexia,8,True,7
scale_full,S0153,Dyslexia,9,True,7
scale_full,S0155,ID,10,True,7
scale_full,S0156,ADHD,23,True,7
scale_full,S0166,Physical_Sensory,22,True,7
scale_full,S0178,Mixed,27,True,7
scale_full,S0195,ASD,4,True,7
scale_full,S0196,Dyslexia,16,True,7
scale_full,S0203,ASD,13,True,7
scale_full,S0209,Dyslexia,12,True,7
scale_full,S0215,ID,8,True,7
scale_full,S0216,ASD,10,True,7
scale_full,S0226,ASD,38,True,7
scale_full,S0235,Physical_Sensory,11,True,7
scale_full,S0237,Physical_Sensory,23,True,7
scale_full,S0239,ASD,15,True,7
scale_full,S0241,Physical_Sensory,19,True,7
scale_full,S0243,Dyslexia,25,True,7
scale_full,S0252,Dyslexia,19,True,7
scale_full,S0254,ADHD,23,True,7
scale_full,S0255,ID,22,True,7
scale_full,S0264,Mixed,8,True,7
scale_full,S0265,ASD,17,True,7
scale_full,S0266,ADHD,12,True,7
scale_full,S0276,ADHD,20,True,7
scale_full,S0279,Mixed,18,True,7
scale_full,S0280,ASD,9,True,7
scale_full,S0281,ASD,9,True,7
scale_full,S0282,ADHD,7,True,7
scale_full,S0288,Dyslexia,15,True,7
scale_full,S0297,Physical_Sensory,18,True,7
scale_full,S0308,ADHD,20,True,7
scale_full,S0313,ADHD,10,True,7
scale_full,S0316,ADHD,11,True,7
scale_full,S0317,ID,11,True,7
scale_full,S0319,Mixed,15,True,7
scale_full,S0334,ASD,16,True,7
scale_full,S0335,Dyslexia,12,True,7
scale_full,S0336,ASD,30,True,7
scale_full,S0352,Dyslexia,11,True,7
scale_full,S0356,Physical_Sensory,9,True,7
scale_full,S0357,Physical_Sensory,9,True,7
scale_full,S0368,ADHD,8,True,7
scale_full,S0369,Mixed,5,True,7
scale_full,S0373,ADHD,16,True,7
scale_full,S0386,ID,21,True,7
scale_full,S0388,ASD,8,True,7
scale_full,S0393,ID,15,True,7
scale_full,S0396,Physical_Sensory,14,True,7
rule_based,S0001,ADHD,12,True,7
rule_based,S0003,ID,39,True,7
rule_based,S0007,Physical_Sensory,16,True,7
rule_based,S0015,ADHD,30,True,7
rule_based,S0022,Mixed,3,True,7
rule_based,S0025,ASD,32,True,7
rule_based,S0026,Dyslexia,37,True,7
rule_based,S0030,ID,34,True,7
rule_based,S0037,Dyslexia,31,True,7
rule_based,S0043,ADHD,31,True,7
rule_based,S0049,ASD,40,True,7
rule_based,S0050,ASD,15,True,7
rule_based,S0064,Dyslexia,31,True,7
rule_based,S0068,ASD,13,True,7
rule_based,S0071,ADHD,12,True,7
rule_based,S0072,Mixed,31,True,7
rule_based,S0074,ASD,38,True,7
rule_based,S0076,ADHD,36,True,7
rule_based,S0083,ASD,35,True,7
rule_based,S0086,ID,36,True,7
rule_based,S0087,Dyslexia,30,True,7
rule_based,S0104,Physical_Sensory,9,True,7
rule_based,S0109,Mixed,13,True,7
rule_based,S0115,Mixed,16,True,7
rule_based,S0121,Dyslexia,39,True,7
rule_based,S0126,ADHD,33,True,7
rule_based,S0129,Dyslexia,34,True,7
rule_based,S0133,ADHD,31,True,7
rule_based,S0136,Mixed,32,True,7
rule_based,S0141,Dyslexia,31,True,7
rule_based,S0143,Dyslexia,12,True,7
rule_based,S0144,Dyslexia,13,True,7
rule_based,S0153,Dyslexia,14,True,7
rule_based,S0155,ID,15,True,7
rule_based,S0156,ADHD,35,True,7
rule_based,S0166,Physical_Sensory,37,True,7
rule_based,S0178,Mixed,35,True,7
rule_based,S0195,ASD,8,True,7
rule_based,S0196,Dyslexia,35,True,7
rule_based,S0203,ASD,31,True,7
rule_based,S0209,Dyslexia,12,True,7
rule_based,S0215,ID,13,True,7
rule_based,S0216,ASD,15,True,7
rule_based,S0226,ASD,42,True,7
rule_based,S0235,Physical_Sensory,17,True,7
rule_based,S0237,Physical_Sensory,37,True,7
rule_based,S0239,ASD,32,True,7
rule_based,S0241,Physical_Sensory,38,True,7
rule_based,S0243,Dyslexia,37,True,7
rule_based,S0252,Dyslexia,36,True,7
rule_based,S0254,ADHD,38,True,7
rule_based,S0255,ID,42,True,7
rule_based,S0264,Mixed,7,True,7
rule_based,S0265,ASD,35,True,7
rule_based,S0266,ADHD,16,True,7
rule_based,S0276,ADHD,39,True,7
rule_based,S0279,Mixed,34,True,7
rule_based,S0280,ASD,14,True,7
rule_based,S0281,ASD,12,True,7
rule_based,S0282,ADHD,10,True,7
rule_based,S0288,Dyslexia,35,True,7
rule_based,S0297,Physical_Sensory,33,True,7
rule_based,S0308,ADHD,38,True,7
rule_based,S0313,ADHD,14,True,7
rule_based,S0316,ADHD,14,True,7
rule_based,S0317,ID,15,True,7
rule_based,S0319,Mixed,16,True,7
rule_based,S0334,ASD,32,True,7
rule_based,S0335,Dyslexia,16,True,7
rule_based,S0336,ASD,40,True,7
rule_based,S0352,Dyslexia,13,True,7
rule_based,S0356,Physical_Sensory,15,True,7
rule_based,S0357,Physical_Sensory,13,True,7
rule_based,S0368,ADHD,11,True,7
rule_based,S0369,Mixed,7,True,7
rule_based,S0373,ADHD,32,True,7
rule_based,S0386,ID,37,True,7
rule_based,S0388,ASD,13,True,7
rule_based,S0393,ID,32,True,7
rule_based,S0396,Physical_Sensory,30,True,7
push_only,S0001,ADHD,9,True,7
push_only,S0003,ID,19,True,7
push_only,S0007,Physical_Sensory,13,True,7
push_only,S0015,ADHD,14,True,7
push_only,S0022,Mixed,2,True,7
push_only,S0025,ASD,15,True,7
push_only,S0026,Dyslexia,19,True,7
push_only,S0030,ID,16,True,7
push_only,S0037,Dyslexia,15,True,7
push_only,S0043,ADHD,16,True,7
push_only,S0049,ASD,19,True,7
push_only,S0050,ASD,12,True,7
push_only,S0064,Dyslexia,16,True,7
push_only,S0068,ASD,8,True,7
push_only,S0071,ADHD,6,True,7
push_only,S0072,Mixed,12,True,7
push_only,S0074,ASD,20,True,7
push_only,S0076,ADHD,16,True,7
push_only,S0083,ASD,15,True,7
push_only,S0086,ID,18,True,7
push_only,S0087,Dyslexia,15,True,7
push_only,S0104,Physical_Sensory,6,True,7
push_only,S0109,Mixed,10,True,7
push_only,S0115,Mixed,12,True,7
push_only,S0121,Dyslexia,18,True,7
push_only,S0126,ADHD,15,True,7
push_only,S0129,Dyslexia,18,True,7
push_only,S0133,ADHD,14,True,7
push_only,S0136,Mixed,17,True,7
push_only,S0141,Dyslexia,16,True,7
push_only,S0143,Dyslexia,9,True,7
push_only,S0144,Dyslexia,7,True,7
push_only,S0153,Dyslexia,8,True,7
push_only,S0155,ID,11,True,7
push_only,S0156,ADHD,19,True,7
push_only,S0166,Physical_Sensory,18,True,7
push_only,S0178,Mixed,17,True,7
push_only,S0195,ASD,4,True,7
push_only,S0196,Dyslexia,15,True,7
push_only,S0203,ASD,12,True,7
push_only,S0209,Dyslexia,10,True,7
push_only,S0215,ID,7,True,7
push_only,S0216,ASD,10,True,7
push_only,S0226,ASD,26,True,7
push_only,S0235,Physical_Sensory,12,True,7
push_only,S0237,Physical_Sensory,17,True,7
push_only,S0239,ASD,14,True,7
push_only,S0241,Physical_Sensory,19,True,7
push_only,S0243,Dyslexia,20,True,7
push_only,S0252,Dyslexia,18,True,7
push_only,S0254,ADHD,20,True,7
push_only,S0255,ID,22,True,7
push_only,S0264,Mixed,4,True,7
push_only,S0265,ASD,16,True,7
push_only,S0266,ADHD,13,True,7
push_only,S0276,ADHD,22,True,7
push_only,S0279,Mixed,16,True,7
push_only,S0280,ASD,9,True,7
push_only,S0281,ASD,7,True,7
push_only,S0282,ADHD,7,True,7
push_only,S0288,Dyslexia,17,True,7
push_only,S0297,Physical_Sensory,13,True,7
push_only,S0308,ADHD,20,True,7
push_only,S0313,ADHD,9,True,7
push_only,S0316,ADHD,10,True,7
push_only,S0317,ID,9,True,7
push_only,S0319,Mixed,12,True,7
push_only,S0334,ASD,15,True,7
push_only,S0335,Dyslexia,14,True,7
push_only,S0336,ASD,24,True,7
push_only,S0352,Dyslexia,11,True,7
push_only,S0356,Physical_Sensory,9,True,7
push_only,S0357,Physical_Sensory,9,True,7
push_only,S0368,ADHD,8,True,7
push_only,S0369,Mixed,4,True,7
push_only,S0373,ADHD,14,True,7
push_only,S0386,ID,19,True,7
push_only,S0388,ASD,8,True,7
push_only,S0393,ID,13,True,7
push_only,S0396,Physical_Sensory,13,True,7
scale_full,S0001,ADHD,11,True,218
scale_full,S0003,ID,22,True,218
scale_full,S0007,Physical_Sensory,13,True,218
scale_full,S0015,ADHD,17,True,218
scale_full,S0022,Mixed,2,True,218
scale_full,S0025,ASD,37,True,218
scale_full,S0026,Dyslexia,19,True,218
scale_full,S0030,ID,18,True,218
scale_full,S0037,Dyslexia,15,True,218
scale_full,S0043,ADHD,16,True,218
scale_full,S0049,ASD,30,True,218
scale_full,S0050,ASD,11,True,218
scale_full,S0064,Dyslexia,16,True,218
scale_full,S0068,ASD,8,True,218
scale_full,S0071,ADHD,6,True,218
scale_full,S0072,Mixed,17,True,218
scale_full,S0074,ASD,25,True,218
scale_full,S0076,ADHD,22,True,218
scale_full,S0083,ASD,19,True,218
scale_full,S0086,ID,19,True,218
scale_full,S0087,Dyslexia,19,True,218
scale_full,S0104,Physical_Sensory,7,True,218
scale_full,S0109,Mixed,11,True,218
scale_full,S0115,Mixed,14,True,218
scale_full,S0121,Dyslexia,18,True,218
scale_full,S0126,ADHD,27,True,218
scale_full,S0129,Dyslexia,19,True,218
scale_full,S0133,ADHD,23,True,218
scale_full,S0136,Mixed,22,True,218
scale_full,S0141,Dyslexia,25,True,218
scale_full,S0143,Dyslexia,10,True,218
scale_full,S0144,Dyslexia,8,True,218
scale_full,S0153,Dyslexia,8,True,218
scale_full,S0155,ID,12,True,218
scale_full,S0156,ADHD,22,True,218
scale_full,S0166,Physical_Sensory,23,True,218
scale_full,S0178,Mixed,21,True,218
scale_full,S0195,ASD,4,True,218
scale_full,S0196,Dyslexia,19,True,218
scale_full,S0203,ASD,14,True,218
scale_full,S0209,Dyslexia,10,True,218
scale_full,S0215,ID,8,True,218
scale_full,S0216,ASD,10,True,218
scale_full,S0226,ASD,26,True,218
scale_full,S0235,Physical_Sensory,12,True,218
scale_full,S0237,Physical_Sensory,19,True,218
scale_full,S0239,ASD,20,True,218
scale_full,S0241,Physical_Sensory,18,True,218
scale_full,S0243,Dyslexia,19,True,218
scale_full,S0252,Dyslexia,19,True,218
scale_full,S0254,ADHD,21,True,218
scale_full,S0255,ID,23,True,218
scale_full,S0264,Mixed,5,True,218
scale_full,S0265,ASD,18,True,218
scale_full,S0266,ADHD,14,True,218
scale_full,S0276,ADHD,20,True,218
scale_full,S0279,Mixed,17,True,218
scale_full,S0280,ASD,9,True,218
scale_full,S0281,ASD,9,True,218
scale_full,S0282,ADHD,7,True,218
scale_full,S0288,Dyslexia,18,True,218
scale_full,S0297,Physical_Sensory,19,True,218
scale_full,S0308,ADHD,24,True,218
scale_full,S0313,ADHD,9,True,218
scale_full,S0316,ADHD,10,True,218
scale_full,S0317,ID,12,True,218
scale_full,S0319,Mixed,17,True,218
scale_full,S0334,ASD,16,True,218
scale_full,S0335,Dyslexia,14,True,218
scale_full,S0336,ASD,23,True,218
scale_full,S0352,Dyslexia,11,True,218
scale_full,S0356,Physical_Sensory,9,True,218
scale_full,S0357,Physical_Sensory,10,True,218
scale_full,S0368,ADHD,9,True,218
scale_full,S0369,Mixed,5,True,218
scale_full,S0373,ADHD,18,True,218
scale_full,S0386,ID,21,True,218
scale_full,S0388,ASD,8,True,218
scale_full,S0393,ID,13,True,218
scale_full,S0396,Physical_Sensory,14,True,218
rule_based,S0001,ADHD,11,True,218
rule_based,S0003,ID,39,True,218
rule_based,S0007,Physical_Sensory,15,True,218
rule_based,S0015,ADHD,30,True,218
rule_based,S0022,Mixed,3,True,218
rule_based,S0025,ASD,32,True,218
rule_based,S0026,Dyslexia,37,True,218
rule_based,S0030,ID,36,True,218
rule_based,S0037,Dyslexia,31,True,218
rule_based,S0043,ADHD,31,True,218
rule_based,S0049,ASD,40,True,218
rule_based,S0050,ASD,14,True,218
rule_based,S0064,Dyslexia,31,True,218
rule_based,S0068,ASD,13,True,218
rule_based,S0071,ADHD,12,True,218
rule_based,S0072,Mixed,31,True,218
rule_based,S0074,ASD,38,True,218
rule_based,S0076,ADHD,36,True,218
rule_based,S0083,ASD,35,True,218
rule_based,S0086,ID,36,True,218
rule_based,S0087,Dyslexia,30,True,218
rule_based,S0104,Physical_Sensory,11,True,218
rule_based,S0109,Mixed,16,True,218
rule_based,S0115,Mixed,16,True,218
rule_based,S0121,Dyslexia,39,True,218
rule_based,S0126,ADHD,33,True,218
rule_based,S0129,Dyslexia,34,True,218
rule_based,S0133,ADHD,31,True,218
rule_based,S0136,Mixed,32,True,218
rule_based,S0141,Dyslexia,31,True,218
rule_based,S0143,Dyslexia,13,True,218
rule_based,S0144,Dyslexia,11,True,218
rule_based,S0153,Dyslexia,13,True,218
rule_based,S0155,ID,16,True,218
rule_based,S0156,ADHD,34,True,218
rule_based,S0166,Physical_Sensory,22,True,218
rule_based,S0178,Mixed,35,True,218
rule_based,S0195,ASD,8,True,218
rule_based,S0196,Dyslexia,35,True,218
rule_based,S0203,ASD,31,True,218
rule_based,S0209,Dyslexia,13,True,218
rule_based,S0215,ID,11,True,218
rule_based,S0216,ASD,14,True,218
rule_based,S0226,ASD,42,True,218
rule_based,S0235,Physical_Sensory,17,True,218
rule_based,S0237,Physical_Sensory,37,True,218
rule_based,S0239,ASD,32,True,218
rule_based,S0241,Physical_Sensory,38,True,218
rule_based,S0243,Dyslexia,37,True,218
rule_based,S0252,Dyslexia,36,True,218
rule_based,S0254,ADHD,38,True,218
rule_based,S0255,ID,41,True,218
rule_based,S0264,Mixed,7,True,218
rule_based,S0265,ASD,35,True,218
rule_based,S0266,ADHD,17,True,218
rule_based,S0276,ADHD,39,True,218
rule_based,S0279,Mixed,34,True,218
rule_based,S0280,ASD,13,True,218
rule_based,S0281,ASD,10,True,218
rule_based,S0282,ADHD,13,True,218
rule_based,S0288,Dyslexia,35,True,218
rule_based,S0297,Physical_Sensory,33,True,218
rule_based,S0308,ADHD,38,True,218
rule_based,S0313,ADHD,13,True,218
rule_based,S0316,ADHD,13,True,218
rule_based,S0317,ID,12,True,218
rule_based,S0319,Mixed,18,True,218
rule_based,S0334,ASD,32,True,218
rule_based,S0335,Dyslexia,15,True,218
rule_based,S0336,ASD,40,True,218
rule_based,S0352,Dyslexia,16,True,218
rule_based,S0356,Physical_Sensory,15,True,218
rule_based,S0357,Physical_Sensory,14,True,218
rule_based,S0368,ADHD,13,True,218
rule_based,S0369,Mixed,7,True,218
rule_based,S0373,ADHD,32,True,218
rule_based,S0386,ID,37,True,218
rule_based,S0388,ASD,13,True,218
rule_based,S0393,ID,32,True,218
rule_based,S0396,Physical_Sensory,31,True,218
push_only,S0001,ADHD,9,True,218
push_only,S0003,ID,19,True,218
push_only,S0007,Physical_Sensory,12,True,218
push_only,S0015,ADHD,15,True,218
push_only,S0022,Mixed,2,True,218
push_only,S0025,ASD,14,True,218
push_only,S0026,Dyslexia,19,True,218
push_only,S0030,ID,16,True,218
push_only,S0037,Dyslexia,15,True,218
push_only,S0043,ADHD,16,True,218
push_only,S0049,ASD,19,True,218
push_only,S0050,ASD,12,True,218
push_only,S0064,Dyslexia,16,True,218
push_only,S0068,ASD,8,True,218
push_only,S0071,ADHD,6,True,218
push_only,S0072,Mixed,12,True,218
push_only,S0074,ASD,19,True,218
push_only,S0076,ADHD,17,True,218
push_only,S0083,ASD,15,True,218
push_only,S0086,ID,18,True,218
push_only,S0087,Dyslexia,15,True,218
push_only,S0104,Physical_Sensory,6,True,218
push_only,S0109,Mixed,11,True,218
push_only,S0115,Mixed,12,True,218
push_only,S0121,Dyslexia,18,True,218
push_only,S0126,ADHD,15,True,218
