student_id,disability_type,total_reward,overload_events,final_mastery,acceptance_rate,final_trust,rationale,flags,flagged
S0001,ADHD,5.081926058421052,19,1.0,0.86,0.99,"Student S0001 (ADHD): final mastery 1.00, 19 predicted overload events across the term. Consent acceptance rate was 86%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (19 > 16.0)'],True
S0003,ID,-70.42531850459685,33,0.1496943754603551,0.24,0.2300577293312163,"Student S0003 (ID): final mastery 0.15, 33 predicted overload events across the term. Consent acceptance rate was 24%, and trust in the system's suggestions is currently 0.23 (0-1 scale).","['low trust (0.23 < 0.5)', 'elevated overload events (33 > 16.0)', 'low acceptance rate (24%)']",True
S0007,Physical_Sensory,3.655213706339918,24,1.0,0.88,0.99,"Student S0007 (Physical_Sensory): final mastery 1.00, 24 predicted overload events across the term. Consent acceptance rate was 88%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (24 > 16.0)'],True
S0015,ADHD,0.4390614278125725,18,1.0,0.84,0.99,"Student S0015 (ADHD): final mastery 1.00, 18 predicted overload events across the term. Consent acceptance rate was 84%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (18 > 16.0)'],True
S0022,Mixed,7.609691227928744,13,1.0,0.84,0.99,"Student S0022 (Mixed): final mastery 1.00, 13 predicted overload events across the term. Consent acceptance rate was 84%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0025,ASD,-13.406095374880222,25,1.0,0.62,0.99,"Student S0025 (ASD): final mastery 1.00, 25 predicted overload events across the term. Consent acceptance rate was 62%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (25 > 16.0)'],True
S0026,Dyslexia,3.603645823722169,16,1.0,0.92,0.99,"Student S0026 (Dyslexia): final mastery 1.00, 16 predicted overload events across the term. Consent acceptance rate was 92%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0030,ID,4.407797218616741,21,1.0,0.84,0.99,"Student S0030 (ID): final mastery 1.00, 21 predicted overload events across the term. Consent acceptance rate was 84%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (21 > 16.0)'],True
S0037,Dyslexia,7.221875005443383,5,1.0,0.88,0.99,"Student S0037 (Dyslexia): final mastery 1.00, 5 predicted overload events across the term. Consent acceptance rate was 88%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0043,ADHD,3.3021411342485845,8,1.0,0.9,0.99,"Student S0043 (ADHD): final mastery 1.00, 8 predicted overload events across the term. Consent acceptance rate was 90%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0049,ASD,7.032495962477112,9,1.0,1.0,0.99,"Student S0049 (ASD): final mastery 1.00, 9 predicted overload events across the term. Consent acceptance rate was 100%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0050,ASD,5.666838214757789,15,1.0,0.84,0.99,"Student S0050 (ASD): final mastery 1.00, 15 predicted overload events across the term. Consent acceptance rate was 84%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0064,Dyslexia,4.310677364883932,14,1.0,0.84,0.99,"Student S0064 (Dyslexia): final mastery 1.00, 14 predicted overload events across the term. Consent acceptance rate was 84%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0068,ASD,6.895722859517368,18,1.0,0.96,0.99,"Student S0068 (ASD): final mastery 1.00, 18 predicted overload events across the term. Consent acceptance rate was 96%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (18 > 16.0)'],True
S0071,ADHD,9.321578169927337,7,1.0,0.9,0.99,"Student S0071 (ADHD): final mastery 1.00, 7 predicted overload events across the term. Consent acceptance rate was 90%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0072,Mixed,0.7391964963746092,22,1.0,0.78,0.99,"Student S0072 (Mixed): final mastery 1.00, 22 predicted overload events across the term. Consent acceptance rate was 78%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (22 > 16.0)'],True
S0074,ASD,1.391432129117507,20,1.0,0.84,0.99,"Student S0074 (ASD): final mastery 1.00, 20 predicted overload events across the term. Consent acceptance rate was 84%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (20 > 16.0)'],True
S0076,ADHD,-6.068561876495348,15,1.0,0.8,0.99,"Student S0076 (ADHD): final mastery 1.00, 15 predicted overload events across the term. Consent acceptance rate was 80%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0083,ASD,1.3853512863594628,22,1.0,0.8,0.99,"Student S0083 (ASD): final mastery 1.00, 22 predicted overload events across the term. Consent acceptance rate was 80%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (22 > 16.0)'],True
S0086,ID,8.722153862873613,22,1.0,0.9,0.99,"Student S0086 (ID): final mastery 1.00, 22 predicted overload events across the term. Consent acceptance rate was 90%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (22 > 16.0)'],True
S0087,Dyslexia,5.046493820713697,16,1.0,0.78,0.99,"Student S0087 (Dyslexia): final mastery 1.00, 16 predicted overload events across the term. Consent acceptance rate was 78%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0104,Physical_Sensory,3.843521491147353,18,1.0,0.76,0.99,"Student S0104 (Physical_Sensory): final mastery 1.00, 18 predicted overload events across the term. Consent acceptance rate was 76%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (18 > 16.0)'],True
S0109,Mixed,6.823967805393107,8,1.0,0.88,0.99,"Student S0109 (Mixed): final mastery 1.00, 8 predicted overload events across the term. Consent acceptance rate was 88%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0115,Mixed,4.553760784833636,15,1.0,0.88,0.99,"Student S0115 (Mixed): final mastery 1.00, 15 predicted overload events across the term. Consent acceptance rate was 88%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
S0121,Dyslexia,-5.68973034370515,18,1.0,0.52,0.99,"Student S0121 (Dyslexia): final mastery 1.00, 18 predicted overload events across the term. Consent acceptance rate was 52%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",['elevated overload events (18 > 16.0)'],True
S0126,ADHD,-2.282413387593939,16,1.0,0.8,0.99,"Student S0126 (ADHD): final mastery 1.00, 16 predicted overload events across the term. Consent acceptance rate was 80%, and trust in the system's suggestions is currently 0.99 (0-1 scale).",[],False
